Nama File,Transkripsi
2128_audio1.wav,"ya al qi, uridu buk flaik ila jeddah al usbu al qadim hal bisa bantu ajidah afdal skedul warilhatan mubasyurah."
2128_audio10.wav,jelaskan step by step cara booking flag ke jeda secara online.
2128_audio2.wav,uridu orange transport min jeda ila madinda gadan
2128_audio3.wav,can you help aku arrange transport dari jeddah ke madinah tomorrow?
2128_audio4.wav,explain step by step cara apply visa saudi dengan benar.
2128_audio5.wav,aku mau book flight ke jendah minggu depan. bisa bantu schedule?
2128_audio6.wav,aku butuh travel umrah simple tapi ikut medina fisit.
2128_audio7.wav,how to prepare dokumen umrah dari indonesia dengan benar.
2128_audio8.wav,bagaimana proses visa saudi untuk umrah dari indonesia sekarang?
2128_audio9.wav,get aku cara pilih hotel di mekah dekat haram dengan budget terbatas.
2222_audio1.wav,"aku mau book flight ke jeddah minggu depan, bisa bantu schedule."
2222_audio10.wav,apa perbedaan umroh dan hajj secara detail dalam islam?
2222_audio12.wav,bagaimana proses visa saudi untuk umrah dari indonesia sekarang?
2222_audio14.wav,how to prepare dokumen umrah dari indonesia dengan benar
2222_audio2.wav,aku butuh travel umrah simple tapi include madinah visit.
2222_audio3.wav,can you help aku arrange transport dari judea ke madinah tomorrow?
2222_audio4.wav,explain step by step cara apply visa saudi dengan benar.
2222_audio5.wav,"ya akhi, uridu bukfaik ilajadah al-rasbu'al qadim, hal bisa bantu ajidah aftal skedul warihlatan mubasyirah."
2222_audio6.wav,uridu arrange transport menjedah ila madinah wadan
2222_audio7.wav,book flight ke jeddah lalu lanjut ke madinah. schedule terbaik kapan?
2301_audio1.wav,"aku mau book fly ke jedah minggu depan, bisa bantu schedule?"
2301_audio11.wav,kenapa fasting di ramadan itu wajib bagi muslim?
2301_audio12.wav,bagaimana proses visa saudi untuk umroh dari indonesia sekarang?
2301_audio14.wav,how to prepare dokumen umroh dari indonesia dengan benar
2301_audio15.wav,tolong buat checklist persiapan umroh termasuk barang wajib dibawa.
2301_audio2.wav,"aku butuh travel umrah simple, tapi include madinah visit."
